,DEV_NAME,MANAGED_BY,TDS,CONS_TDS,CONS_NAME
0,1010 EAST 178TH STREET,1010 EAST 178TH STREET,180,180,1010 EAST 178TH STREET
1,104-14 TAPSCOTT STREET,REID APARTMENTS,242,167,REID APARTMENTS CONSOLIDATED
2,1162-1176 WASHINGTON AVENUE,CLAREMONT CONSOLIDATED,233,308,CLAREMONT CONSOLIDATED
3,131 SAINT NICHOLAS AVENUE,TAFT,154,97,TAFT CONSOLIDATED
4,1471 WATSON AVENUE,SOTOMAYOR HOUSES,214,67,SOTOMAYOR HOUSES CONSOLIDATED
5,154 WEST 84TH STREET,KRAUS MANAGEMENT (PRIVATE - M/B 1),359,359,KRAUS MANAGEMENT CONSOLIDATED
6,303 VERNON AVENUE,SUMNER,156,73,SUMNER CONSOLIDATED
7,335 EAST 111TH STREET,JEFFERSON,203,64,JEFFERSON CONSOLIDATED
8,344 EAST 28TH STREET,STRAUS,185,153,STRAUS CONSOLIDATED
9,45 ALLEN STREET,GOMPERS,265,100,GOMPERS CONSOLIDATED
11,572 WARREN STREET,WYCKOFF GARDENS,196,163,WYCKOFF GARDENS CONSOLIDATED
13,830 AMSTERDAM AVENUE,DOUGLASS,150,82,DOUGLASS CONSOLIDATED
14,ADAMS,ADAMS,118,118,ADAMS
22,ALBANY,ALBANY,31,31,ALBANY CONSOLIDATED
28,ALBANY II,ALBANY,85,31,ALBANY CONSOLIDATED
31,AMSTERDAM,AMSTERDAM,22,22,AMSTERDAM CONSOLIDATED
44,AMSTERDAM ADDITION,AMSTERDAM,187,22,AMSTERDAM CONSOLIDATED
45,ARMSTRONG I,ARMSTRONG I,210,210,ARMSTRONG CONSOLIDATED
99,ARMSTRONG II,ARMSTRONG I,228,210,ARMSTRONG CONSOLIDATED
115,ASTORIA,ASTORIA,26,26,ASTORIA
138,ATLANTIC TERMINAL SITE 4B,WYCKOFF GARDENS,256,163,WYCKOFF GARDENS CONSOLIDATED
139,AUDUBON,HARLEM RIVER,125,3,HARLEM RIVER CONSOLIDATED
140,BAILEY AVENUE-WEST 193RD STREET,FORT INDEPENDENCE,202,197,FORT INDEPENDENCE CONSOLIDATED
141,BAISLEY PARK,BAISLEY PARK,91,91,BAISLEY PARK CONSOLIDATED
148,BARUCH,BARUCH,60,60,BARUCH CONSOLIDATED
167,BARUCH HOUSES ADDITION,BARUCH,198,60,BARUCH CONSOLIDATED
168,BAY VIEW,BAY VIEW,92,92,BAY VIEW
193,BEACH 41ST STREET-BEACH CHANNEL DRIVE,BEACH 41ST STREET-BEACH CHANNEL DRIVE,165,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE
199,BEDFORD-STUYVESANT REHAB,SUMNER,311,73,SUMNER CONSOLIDATED
204,BELMONT-SUTTER AREA,BOULEVARD,345,46,BOULEVARD CONSOLIDATED
207,BERRY,BERRY,52,52,BERRY
216,BERRY STREET-SOUTH 9TH STREET,TOMPKINS,357,131,TOMPKINS CONSOLIDATED
223,BETHUNE GARDENS,HARLEM RIVER,160,3,HARLEM RIVER CONSOLIDATED
224,BLAND,LATIMER GARDENS,54,186,LATIMER GARDENS CONSOLIDATED
229,BORINQUEN PLAZA I,BORINQUEN PLAZA I,243,243,BORINQUEN PLAZA CONSOLIDATED
240,BORINQUEN PLAZA II,BORINQUEN PLAZA I,271,243,BORINQUEN PLAZA CONSOLIDATED
247,BOSTON ROAD PLAZA,PELHAM PARKWAY,189,39,PELHAM PARKWAY CONSOLIDATED
249,BOSTON SECOR,BOSTON SECOR,138,138,BOSTON SECOR CONSOLIDATED
255,BOULEVARD,BOULEVARD,46,46,BOULEVARD CONSOLIDATED
273,BOYNTON AVENUE REHAB,BRONX RIVER,346,32,BRONX RIVER CONSOLIDATED
276,BRACETTI PLAZA,LOWER EAST SIDE CONSOLIDATED,264,337,LOWER EAST SIDE CONSOLIDATED
277,BREUKELEN,BREUKELEN,56,56,BREUKELEN
311,BREVOORT,BREVOORT,65,65,BREVOORT
325,BRONX RIVER,BRONX RIVER,32,32,BRONX RIVER CONSOLIDATED
336,BRONX RIVER ADDITION,BRONX RIVER,157,32,BRONX RIVER CONSOLIDATED
338,BROWN,GARVEY,325,252,GARVEY CONSOLIDATED
340,BROWNSVILLE,BROWNSVILLE,16,16,BROWNSVILLE
367,BRYANT AVENUE-EAST 174TH STREET,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),235,530,BUILDING MANAGEMENT ASSOCIATES CONSOLIDATED
368,BUSHWICK,BUSHWICK,86,86,BUSHWICK CONSOLIDATED
376,BUTLER,BUTLER,113,113,BUTLER
383,CAMPOS PLAZA II,LOWER EAST SIDE CONSOLIDATED,286,337,LOWER EAST SIDE CONSOLIDATED
385,CAREY GARDENS,CAREY GARDENS,166,166,CAREY GARDENS CONSOLIDATED
391,CARLETON MANOR,HAMMEL,164,75,HAMMEL CONSOLIDATED
392,CARVER,CARVER,58,58,CARVER
405,CASSIDY-LAFAYETTE,RICHMOND TERRACE,206,117,RICHMOND TERRACE CONSOLIDATED
411,CASTLE HILL,CASTLE HILL,80,80,CASTLE HILL
425,CHELSEA,CHELSEA,134,134,CHELSEA CONSOLIDATED
427,CHELSEA ADDITION,CHELSEA,176,134,CHELSEA CONSOLIDATED
428,CLAREMONT PARKWAY-FRANKLIN AVENUE,UNION AVENUE CONSOLIDATED,334,342,UNION AVENUE CONSOLIDATED
441,CLAREMONT REHAB (GROUP 2),CLAREMONT CONSOLIDATED,307,308,CLAREMONT CONSOLIDATED
450,CLAREMONT REHAB (GROUP 3),CLAREMONT CONSOLIDATED,308,308,CLAREMONT CONSOLIDATED
458,CLAREMONT REHAB (GROUP 4),CLAREMONT CONSOLIDATED,335,308,CLAREMONT CONSOLIDATED
467,CLAREMONT REHAB (GROUP 5),CLAREMONT CONSOLIDATED,336,308,CLAREMONT CONSOLIDATED
472,CLASON POINT GARDENS,SACK WERN,11,280,SACK WERN CONSOLIDATED
518,CLINTON,CLINTON,123,123,CLINTON
526,COLLEGE AVENUE-EAST 165TH STREET,CLAREMONT CONSOLIDATED,236,308,CLAREMONT CONSOLIDATED
527,CONEY ISLAND,SURFSIDE GARDENS,94,170,SURFSIDE GARDENS CONSOLIDATED
532,CONEY ISLAND I (SITE 1B),CAREY GARDENS,239,166,CAREY GARDENS CONSOLIDATED
533,CONEY ISLAND I (SITE 8),O'DWYER GARDENS,238,172,O'DWYER GARDENS CONSOLIDATED
534,CONEY ISLAND I (SITES 4 & 5),SURFSIDE GARDENS,216,170,SURFSIDE GARDENS CONSOLIDATED
536,CONLON LIHFE TOWER,BAISLEY PARK,232,91,BAISLEY PARK CONSOLIDATED
537,COOPER PARK,COOPER PARK,69,69,COOPER PARK
548,CORSI HOUSES,JEFFERSON,199,64,JEFFERSON CONSOLIDATED
550,CROWN HEIGHTS,PARK ROCK CONSOLIDATED,312,351,PARK ROCK CONSOLIDATED
558,CYPRESS HILLS,CYPRESS HILLS,70,70,CYPRESS HILLS CONSOLIDATED
573,DAVIDSON,UNION AVENUE CONSOLIDATED,190,342,UNION AVENUE CONSOLIDATED
574,DE HOSTOS APARTMENTS,WISE TOWERS,155,127,WISE TOWERS CONSOLIDATED
575,DOUGLASS ADDITION,DOUGLASS,148,82,DOUGLASS CONSOLIDATED
576,DOUGLASS I,DOUGLASS,82,82,DOUGLASS CONSOLIDATED
588,DOUGLASS II,DOUGLASS,582,82,DOUGLASS CONSOLIDATED
594,DREW-HAMILTON,DREW-HAMILTON,111,111,DREW-HAMILTON CONSOLIDATED
604,DYCKMAN,DYCKMAN,41,41,DYCKMAN
612,EAGLE AVENUE-EAST 163RD STREET,FOREST,224,59,FOREST
613,EAST 152ND STREET-COURTLANDT AVENUE,MELROSE,237,28,MELROSE CONSOLIDATED
615,EAST 165TH STREET-BRYANT AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),304,530,BUILDING MANAGEMENT ASSOCIATES CONSOLIDATED
620,EAST 173RD STREET-VYSE AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),338,530,BUILDING MANAGEMENT ASSOCIATES CONSOLIDATED
629,EAST 180TH STREET-MONTEREY AVENUE,1010 EAST 178TH STREET,208,180,1010 EAST 178TH STREET
631,EAST NEW YORK CITY LINE,CYPRESS HILLS,263,70,CYPRESS HILLS CONSOLIDATED
